Step,Time_stamp,Bacteria_Count,Glucose_Count,Metabolite_Count,Growth_Rate,Average_ATP,Min_ATP,Max_ATP,Total_ATP,ATP_StdDev,Total_Metabolites_Produced,Avg_Metabolites_Per_Bacteria,Avg_Metabolite_Concentration,Avg_Bacteria_X,Avg_Bacteria_Y,Bacteria_Spatial_Std,Avg_Glucose_X,Avg_Glucose_Y,Glucose_Spatial_Std,Glucose_Per_Bacteria,ATP_Per_Glucose,Metabolites_Per_Glucose,ATP_Per_Bacteria,Metabolites_Per_Bacteria
0,2025-06-20 12:06:33.364743,74,1484,74,1.000,195.50,195.50,195.50,14467.00,0.00,74,1.00,0.300,0.000010,0.000010,0.000011,0.000010,0.000010,0.000012,20.05,9.75,0.05,195.50,1.00
1,2025-06-20 12:06:33.365761,74,1454,148,1.000,191.00,191.00,191.00,14134.00,0.00,148,2.00,0.299,0.000010,0.000010,0.000011,0.000010,0.000009,0.000012,19.65,9.72,0.10,191.00,2.00
2,2025-06-20 12:06:33.366857,74,1395,220,1.000,186.50,186.50,186.50,13801.00,0.00,222,3.00,0.299,0.000010,0.000010,0.000011,0.000010,0.000008,0.000012,18.85,9.89,0.16,186.50,3.00
3,2025-06-20 12:06:33.367794,73,1294,292,0.986,182.00,182.00,182.00,13286.00,0.00,292,4.00,0.298,0.000010,0.000010,0.000011,0.000010,0.000007,0.000012,17.73,10.27,0.23,182.00,4.00
4,2025-06-20 12:06:33.368652,73,1208,365,1.000,177.50,177.50,177.50,12957.50,0.00,365,5.00,0.298,0.000010,0.000010,0.000012,0.000010,0.000007,0.000012,16.55,10.73,0.30,177.50,5.00
5,2025-06-20 12:06:33.369152,70,1128,437,0.959,173.00,173.00,173.00,12110.00,0.00,420,6.00,0.297,0.000010,0.000010,0.000011,0.000010,0.000007,0.000012,16.11,10.74,0.39,173.00,6.00
6,2025-06-20 12:06:33.369581,70,1063,504,1.000,168.50,168.50,168.50,11795.00,0.00,490,7.00,0.297,0.000010,0.000010,0.000012,0.000010,0.000007,0.000012,15.19,11.10,0.47,168.50,7.00
7,2025-06-20 12:06:33.370004,69,995,571,0.986,164.00,164.00,164.00,11316.00,0.00,552,8.00,0.296,0.000010,0.000010,0.000012,0.000010,0.000007,0.000013,14.42,11.37,0.57,164.00,8.00
8,2025-06-20 12:06:33.370419,69,937,640,1.000,159.50,159.50,159.50,11005.50,0.00,621,9.00,0.296,0.000010,0.000010,0.000012,0.000011,0.000008,0.000013,13.58,11.75,0.68,159.50,9.00
9,2025-06-20 12:06:33.370815,67,874,708,0.971,155.00,155.00,155.00,10385.00,0.00,670,10.00,0.295,0.000010,0.000010,0.000011,0.000010,0.000008,0.000013,13.04,11.88,0.81,155.00,10.00
10,2025-06-20 12:06:33.371279,66,847,772,0.985,150.50,150.50,150.50,9933.00,0.00,726,11.00,0.295,0.000010,0.000010,0.000011,0.000010,0.000007,0.000013,12.83,11.73,0.91,150.50,11.00
11,2025-06-20 12:06:33.371699,65,793,837,0.985,146.00,146.00,146.00,9490.00,0.00,780,12.00,0.294,0.000010,0.000010,0.000011,0.000010,0.000007,0.000013,12.20,11.97,1.06,146.00,12.00
12,2025-06-20 12:06:33.372121,63,757,901,0.969,141.50,141.50,141.50,8914.50,0.00,819,13.00,0.293,0.000010,0.000011,0.000011,0.000009,0.000007,0.000013,12.02,11.78,1.19,141.50,13.00
13,2025-06-20 12:06:33.372515,61,713,964,0.968,137.00,137.00,137.00,8357.00,0.00,854,14.00,0.293,0.000010,0.000011,0.000012,0.000009,0.000007,0.000012,11.69,11.72,1.35,137.00,14.00
14,2025-06-20 12:06:33.372893,61,672,1023,1.000,132.50,132.50,132.50,8082.50,0.00,915,15.00,0.292,0.000010,0.000011,0.000012,0.000010,0.000007,0.000012,11.02,12.03,1.52,132.50,15.00
15,2025-06-20 12:06:33.373292,61,626,1084,1.000,128.00,128.00,128.00,7808.00,0.00,976,16.00,0.292,0.000010,0.000011,0.000012,0.000010,0.000007,0.000013,10.26,12.47,1.73,128.00,16.00
16,2025-06-20 12:06:33.373715,61,595,1145,1.000,123.50,123.50,123.50,7533.50,0.00,1037,17.00,0.291,0.000010,0.000011,0.000012,0.000010,0.000007,0.000013,9.75,12.66,1.92,123.50,17.00
17,2025-06-20 12:06:33.374143,61,564,1204,1.000,119.00,119.00,119.00,7259.00,0.00,1098,18.00,0.291,0.000010,0.000011,0.000011,0.000010,0.000007,0.000013,9.25,12.87,2.13,119.00,18.00
18,2025-06-20 12:06:33.374541,60,524,1203,0.984,118.50,118.50,118.50,7110.00,0.00,1080,18.00,0.290,0.000009,0.000010,0.000011,0.000010,0.000008,0.000013,8.73,13.57,2.30,118.50,18.00
19,2025-06-20 12:06:33.374920,60,500,1202,1.000,118.00,118.00,118.00,7080.00,0.00,1080,18.00,0.289,0.000009,0.000010,0.000011,0.000010,0.000007,0.000013,8.33,14.16,2.40,118.00,18.00
20,2025-06-20 12:06:33.375320,60,532,1202,1.000,117.50,117.50,117.50,7050.00,0.00,1080,18.00,0.287,0.000009,0.000010,0.000011,0.000010,0.000008,0.000012,8.87,13.25,2.26,117.50,18.00
21,2025-06-20 12:06:33.375688,60,503,1202,1.000,117.00,117.00,117.00,7020.00,0.00,1080,18.00,0.286,0.000009,0.000010,0.000011,0.000009,0.000008,0.000013,8.38,13.96,2.39,117.00,18.00
22,2025-06-20 12:06:33.376045,59,480,1202,0.983,116.50,116.50,116.50,6873.50,0.00,1062,18.00,0.285,0.000009,0.000010,0.000011,0.000009,0.000008,0.000013,8.14,14.32,2.50,116.50,18.00
23,2025-06-20 12:06:33.376381,59,461,1202,1.000,116.00,116.00,116.00,6844.00,0.00,1062,18.00,0.284,0.000009,0.000010,0.000011,0.000010,0.000008,0.000013,7.81,14.85,2.61,116.00,18.00
24,2025-06-20 12:06:33.376706,59,439,1202,1.000,115.50,115.50,115.50,6814.50,0.00,1062,18.00,0.283,0.000010,0.000010,0.000011,0.000010,0.000008,0.000013,7.44,15.52,2.74,115.50,18.00
25,2025-06-20 12:06:33.377039,58,415,1202,0.983,115.00,115.00,115.00,6670.00,0.00,1044,18.00,0.282,0.000009,0.000010,0.000011,0.000010,0.000007,0.000013,7.16,16.07,2.90,115.00,18.00
26,2025-06-20 12:06:33.377384,58,384,1202,1.000,114.50,114.50,114.50,6641.00,0.00,1044,18.00,0.281,0.000009,0.000010,0.000011,0.000010,0.000007,0.000013,6.62,17.29,3.13,114.50,18.00
27,2025-06-20 12:06:33.377712,58,363,1202,1.000,114.00,114.00,114.00,6612.00,0.00,1044,18.00,0.280,0.000009,0.000010,0.000011,0.000010,0.000007,0.000013,6.26,18.21,3.31,114.00,18.00
28,2025-06-20 12:06:33.378016,57,341,1202,0.983,113.50,113.50,113.50,6469.50,0.00,1026,18.00,0.279,0.000009,0.000010,0.000011,0.000010,0.000008,0.000013,5.98,18.97,3.52,113.50,18.00
29,2025-06-20 12:06:33.378340,57,325,1202,1.000,113.00,113.00,113.00,6441.00,0.00,1026,18.00,0.278,0.000009,0.000010,0.000011,0.000010,0.000008,0.000013,5.70,19.82,3.70,113.00,18.00
30,2025-06-20 12:06:33.378630,57,308,1202,1.000,112.50,112.50,112.50,6412.50,0.00,1026,18.00,0.277,0.000009,0.000010,0.000011,0.000010,0.000008,0.000013,5.40,20.82,3.90,112.50,18.00
31,2025-06-20 12:06:33.378918,57,298,1202,1.000,112.00,112.00,112.00,6384.00,0.00,1026,18.00,0.276,0.000009,0.000010,0.000011,0.000010,0.000008,0.000013,5.23,21.42,4.03,112.00,18.00
