Step,Time_stamp,Bacteria_Count,Glucose_Count,Metabolite_Count,Growth_Rate,Average_ATP,Min_ATP,Max_ATP,Total_ATP,ATP_StdDev,Total_Metabolites_Produced,Avg_Metabolites_Per_Bacteria,Avg_Metabolite_Concentration,Avg_Bacteria_X,Avg_Bacteria_Y,Bacteria_Spatial_Std,Avg_Glucose_X,Avg_Glucose_Y,Glucose_Spatial_Std,Glucose_Per_Bacteria,ATP_Per_Glucose,Metabolites_Per_Glucose,ATP_Per_Bacteria,Metabolites_Per_Bacteria
32,2025-06-20 12:06:33.379222,57,285,1202,1.000,111.50,111.50,111.50,6355.50,0.00,1026,18.00,0.275,0.000009,0.000010,0.000012,0.000010,0.000007,0.000012,5.00,22.30,4.22,111.50,18.00
33,2025-06-20 12:06:33.379519,56,271,1202,0.982,111.00,111.00,111.00,6216.00,0.00,1008,18.00,0.274,0.000009,0.000010,0.000011,0.000010,0.000007,0.000012,4.84,22.94,4.44,111.00,18.00
34,2025-06-20 12:06:33.379803,56,258,1202,1.000,110.50,110.50,110.50,6188.00,0.00,1008,18.00,0.273,0.000009,0.000010,0.000011,0.000010,0.000007,0.000012,4.61,23.98,4.66,110.50,18.00
35,2025-06-20 12:06:33.380113,56,242,1202,1.000,110.00,110.00,110.00,6160.00,0.00,1008,18.00,0.272,0.000009,0.000010,0.000011,0.000010,0.000007,0.000012,4.32,25.45,4.97,110.00,18.00
36,2025-06-20 12:06:33.380396,56,228,1202,1.000,109.50,109.50,109.50,6132.00,0.00,1008,18.00,0.271,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,4.07,26.89,5.27,109.50,18.00
37,2025-06-20 12:06:33.380667,55,216,1202,0.982,109.00,109.00,109.00,5995.00,0.00,990,18.00,0.270,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,3.93,27.75,5.56,109.00,18.00
38,2025-06-20 12:06:33.380932,55,207,1202,1.000,108.50,108.50,108.50,5967.50,0.00,990,18.00,0.269,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,3.76,28.83,5.81,108.50,18.00
39,2025-06-20 12:06:33.381208,55,199,1202,1.000,108.00,108.00,108.00,5940.00,0.00,990,18.00,0.268,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,3.62,29.85,6.04,108.00,18.00
40,2025-06-20 12:06:33.381492,55,242,1202,1.000,107.50,107.50,107.50,5912.50,0.00,990,18.00,0.267,0.000009,0.000011,0.000011,0.000010,0.000009,0.000013,4.40,24.43,4.97,107.50,18.00
41,2025-06-20 12:06:33.381761,56,228,1203,1.018,108.58,107.00,195.50,6080.50,11.72,991,17.70,0.267,0.000009,0.000011,0.000011,0.000010,0.000009,0.000013,4.07,26.67,5.28,108.58,17.70
42,2025-06-20 12:06:33.382048,54,217,1204,0.964,108.06,106.50,191.00,5835.50,11.39,956,17.70,0.266,0.000009,0.000011,0.000011,0.000010,0.000009,0.000013,4.02,26.89,5.55,108.06,17.70
43,2025-06-20 12:06:33.382330,53,209,1205,0.981,107.52,106.00,186.50,5698.50,10.95,939,17.72,0.265,0.000009,0.000011,0.000011,0.000009,0.000009,0.000013,3.94,27.27,5.77,107.52,17.72
44,2025-06-20 12:06:33.382593,52,206,1206,0.981,106.97,105.50,182.00,5562.50,10.51,922,17.73,0.264,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,3.96,27.00,5.85,106.97,17.73
45,2025-06-20 12:06:33.382851,52,198,1207,1.000,106.39,105.00,177.50,5532.50,9.96,923,17.75,0.263,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,3.81,27.94,6.10,106.39,17.75
46,2025-06-20 12:06:33.383128,52,188,1208,1.000,105.82,104.50,173.00,5502.50,9.41,924,17.77,0.262,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,3.62,29.27,6.43,105.82,17.77
47,2025-06-20 12:06:33.383384,52,177,1209,1.000,105.24,104.00,168.50,5472.50,8.86,925,17.79,0.261,0.000009,0.000011,0.000011,0.000011,0.000007,0.000012,3.40,30.92,6.83,105.24,17.79
48,2025-06-20 12:06:33.383637,51,168,1210,0.981,104.69,103.50,164.00,5339.00,8.39,908,17.80,0.260,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,3.29,31.78,7.20,104.69,17.80
49,2025-06-20 12:06:33.383895,50,158,1211,0.980,104.13,103.00,159.50,5206.50,7.91,891,17.82,0.259,0.000009,0.000011,0.000011,0.000011,0.000008,0.000013,3.16,32.95,7.66,104.13,17.82
50,2025-06-20 12:06:33.384215,50,146,1212,1.000,103.55,102.50,155.00,5177.50,7.35,892,17.84,0.258,0.000009,0.000011,0.000011,0.000011,0.000009,0.000013,2.92,35.46,8.30,103.55,17.84
51,2025-06-20 12:06:33.384468,50,136,1213,1.000,102.97,102.00,150.50,5148.50,6.79,893,17.86,0.257,0.000009,0.000011,0.000011,0.000010,0.000009,0.000013,2.72,37.86,8.92,102.97,17.86
52,2025-06-20 12:06:33.384713,50,129,1214,1.000,102.39,101.50,146.00,5119.50,6.23,894,17.88,0.257,0.000009,0.000011,0.000011,0.000010,0.000009,0.000013,2.58,39.69,9.41,102.39,17.88
53,2025-06-20 12:06:33.384959,50,123,1214,1.000,101.81,101.00,141.50,5090.50,5.67,895,17.90,0.256,0.000009,0.000011,0.000011,0.000009,0.000009,0.000013,2.46,41.39,9.87,101.81,17.90
54,2025-06-20 12:06:33.385213,50,117,1215,1.000,101.23,100.50,137.00,5061.50,5.11,896,17.92,0.255,0.000009,0.000011,0.000011,0.000009,0.000008,0.000013,2.34,43.26,10.38,101.23,17.92
55,2025-06-20 12:06:33.385456,50,110,1216,1.000,100.65,100.00,132.50,5032.50,4.55,897,17.94,0.254,0.000009,0.000011,0.000011,0.000009,0.000007,0.000013,2.20,45.75,11.05,100.65,17.94
56,2025-06-20 12:06:33.385695,50,101,1217,1.000,100.07,99.50,128.00,5003.50,3.99,898,17.96,0.253,0.000009,0.000011,0.000011,0.000009,0.000007,0.000012,2.02,49.54,12.05,100.07,17.96
57,2025-06-20 12:06:33.385932,49,98,1218,0.980,99.50,99.00,123.50,4875.50,3.46,881,17.98,0.252,0.000009,0.000011,0.000011,0.000010,0.000007,0.000012,2.00,49.75,12.43,99.50,17.98
58,2025-06-20 12:06:33.386192,49,95,1219,1.000,98.92,98.50,119.00,4847.00,2.90,882,18.00,0.251,0.000009,0.000011,0.000011,0.000010,0.000007,0.000012,1.94,51.02,12.83,98.92,18.00
59,2025-06-20 12:06:33.386447,49,88,1219,1.000,98.42,98.00,118.50,4822.50,2.90,882,18.00,0.250,0.000009,0.000011,0.000011,0.000010,0.000008,0.000013,1.80,54.80,13.85,98.42,18.00
60,2025-06-20 12:06:33.386700,49,145,1218,1.000,97.92,97.50,118.00,4798.00,2.90,882,18.00,0.249,0.000009,0.000011,0.000011,0.000009,0.000012,0.000012,2.96,33.09,8.40,97.92,18.00
61,2025-06-20 12:06:33.386945,48,142,1218,0.980,97.43,97.00,117.50,4676.50,2.93,864,18.00,0.248,0.000009,0.000011,0.000011,0.000009,0.000012,0.000012,2.96,32.93,8.58,97.43,18.00
62,2025-06-20 12:06:33.387298,47,141,1218,0.979,96.94,96.50,117.00,4556.00,2.96,846,18.00,0.248,0.000009,0.000011,0.000011,0.000009,0.000011,0.000012,3.00,32.31,8.64,96.94,18.00
63,2025-06-20 12:06:33.387569,47,139,1218,1.000,96.44,96.00,116.50,4532.50,2.96,846,18.00,0.247,0.000009,0.000011,0.000011,0.000009,0.000010,0.000012,2.96,32.61,8.76,96.44,18.00
64,2025-06-20 12:06:33.387832,47,136,1218,1.000,95.94,95.50,116.00,4509.00,2.96,846,18.00,0.246,0.000009,0.000011,0.000011,0.000009,0.000008,0.000013,2.89,33.15,8.96,95.94,18.00
65,2025-06-20 12:06:33.388106,47,126,1218,1.000,95.44,95.00,115.50,4485.50,2.96,846,18.00,0.245,0.000009,0.000011,0.000011,0.000010,0.000007,0.000012,2.68,35.60,9.67,95.44,18.00
66,2025-06-20 12:06:33.388359,46,115,1218,0.979,94.95,94.50,115.00,4367.50,2.99,828,18.00,0.244,0.000009,0.000011,0.000011,0.000011,0.000007,0.000013,2.50,37.98,10.59,94.95,18.00
67,2025-06-20 12:06:33.388606,46,109,1218,1.000,94.45,94.00,114.50,4344.50,2.99,828,18.00,0.243,0.000009,0.000011,0.000011,0.000011,0.000007,0.000013,2.37,39.86,11.17,94.45,18.00
68,2025-06-20 12:06:33.388853,44,102,1218,0.957,93.97,93.50,114.00,4134.50,3.06,792,18.00,0.242,0.000009,0.000011,0.000011,0.000011,0.000008,0.000013,2.32,40.53,11.94,93.97,18.00
69,2025-06-20 12:06:33.389107,44,96,1218,1.000,93.47,93.00,113.50,4112.50,3.06,792,18.00,0.241,0.000009,0.000011,0.000011,0.000011,0.000008,0.000013,2.18,42.84,12.69,93.47,18.00
70,2025-06-20 12:06:33.389361,41,91,1218,0.932,93.00,92.50,113.00,3813.00,3.16,738,18.00,0.241,0.000010,0.000011,0.000011,0.000010,0.000008,0.000013,2.22,41.90,13.38,93.00,18.00
71,2025-06-20 12:06:33.389602,41,89,1218,1.000,92.50,92.00,112.50,3792.50,3.16,738,18.00,0.240,0.000010,0.000011,0.000011,0.000010,0.000008,0.000013,2.17,42.61,13.69,92.50,18.00
72,2025-06-20 12:06:33.389847,41,82,1218,1.000,92.00,91.50,112.00,3772.00,3.16,738,18.00,0.239,0.000010,0.000011,0.000011,0.000010,0.000008,0.000013,2.00,46.00,14.85,92.00,18.00
73,2025-06-20 12:06:33.390102,41,79,1218,1.000,91.50,91.00,111.50,3751.50,3.16,738,18.00,0.238,0.000010,0.000011,0.000011,0.000010,0.000008,0.000012,1.93,47.49,15.42,91.50,18.00
74,2025-06-20 12:06:33.390346,40,76,1218,0.976,91.01,90.50,111.00,3640.50,3.20,720,18.00,0.237,0.000009,0.000011,0.000011,0.000010,0.000008,0.000012,1.90,47.90,16.03,91.01,18.00
75,2025-06-20 12:06:33.390581,40,74,1218,1.000,90.51,90.00,110.50,3620.50,3.20,720,18.00,0.236,0.000009,0.000011,0.000011,0.000010,0.000008,0.000012,1.85,48.93,16.46,90.51,18.00
76,2025-06-20 12:06:33.390818,38,69,1218,0.950,90.04,89.50,110.00,3421.50,3.28,684,18.00,0.235,0.000009,0.000011,0.000011,0.000010,0.000008,0.000013,1.82,49.59,17.65,90.04,18.00
77,2025-06-20 12:06:33.391076,38,68,1218,1.000,89.54,89.00,109.50,3402.50,3.28,684,18.00,0.235,0.000009,0.000011,0.000011,0.000011,0.000008,0.000013,1.79,50.04,17.91,89.54,18.00
78,2025-06-20 12:06:33.391320,38,65,1218,1.000,89.04,88.50,109.00,3383.50,3.28,684,18.00,0.234,0.000009,0.000010,0.000011,0.000011,0.000007,0.000013,1.71,52.05,18.74,89.04,18.00
79,2025-06-20 12:06:33.391560,38,65,1218,1.000,88.54,88.00,108.50,3364.50,3.28,684,18.00,0.233,0.000009,0.000010,0.000011,0.000012,0.000008,0.000013,1.71,51.76,18.74,88.54,18.00
80,2025-06-20 12:06:33.391808,38,112,1218,1.000,88.04,87.50,108.00,3345.50,3.28,684,18.00,0.232,0.000009,0.000010,0.000011,0.000011,0.000011,0.000012,2.95,29.87,10.88,88.04,18.00
81,2025-06-20 12:06:33.392075,38,111,1218,1.000,87.54,87.00,107.50,3326.50,3.28,684,18.00,0.231,0.000009,0.000010,0.000010,0.000010,0.000011,0.000013,2.92,29.97,10.97,87.54,18.00
82,2025-06-20 12:06:33.392320,38,110,1218,1.000,87.04,86.50,107.00,3307.50,3.28,684,18.00,0.230,0.000009,0.000010,0.000011,0.000010,0.000010,0.000013,2.89,30.07,11.07,87.04,18.00
83,2025-06-20 12:06:33.392563,37,104,1218,0.974,86.55,86.00,106.50,3202.50,3.32,666,18.00,0.230,0.000009,0.000010,0.000010,0.000010,0.000009,0.000013,2.81,30.79,11.71,86.55,18.00
84,2025-06-20 12:06:33.392808,37,100,1218,1.000,86.05,85.50,106.00,3184.00,3.32,666,18.00,0.229,0.000009,0.000010,0.000010,0.000010,0.000007,0.000013,2.70,31.84,12.18,86.05,18.00
85,2025-06-20 12:06:33.393063,37,94,1218,1.000,85.55,85.00,105.50,3165.50,3.32,666,18.00,0.228,0.000009,0.000010,0.000010,0.000009,0.000007,0.000013,2.54,33.68,12.96,85.55,18.00
86,2025-06-20 12:06:33.393306,37,88,1218,1.000,85.05,84.50,105.00,3147.00,3.32,666,18.00,0.227,0.000010,0.000010,0.000010,0.000009,0.000007,0.000013,2.38,35.76,13.84,85.05,18.00
87,2025-06-20 12:06:33.393546,37,84,1218,1.000,84.55,84.00,104.50,3128.50,3.32,666,18.00,0.226,0.000010,0.000010,0.000010,0.000009,0.000007,0.000012,2.27,37.24,14.50,84.55,18.00
88,2025-06-20 12:06:33.393793,37,81,1218,1.000,84.05,83.50,104.00,3110.00,3.32,666,18.00,0.225,0.000010,0.000010,0.000011,0.000010,0.000007,0.000012,2.19,38.40,15.04,84.05,18.00
89,2025-06-20 12:06:33.394055,37,77,1218,1.000,83.55,83.00,103.50,3091.50,3.32,666,18.00,0.225,0.000010,0.000010,0.000011,0.000010,0.000007,0.000013,2.08,40.15,15.82,83.55,18.00
90,2025-06-20 12:06:33.394302,36,72,1218,0.973,83.07,82.50,103.00,2990.50,3.37,648,18.00,0.224,0.000010,0.000010,0.000011,0.000011,0.000008,0.000014,2.00,41.53,16.92,83.07,18.00
91,2025-06-20 12:06:33.394538,36,70,1218,1.000,82.57,82.00,102.50,2972.50,3.37,648,18.00,0.223,0.000010,0.000010,0.000011,0.000010,0.000007,0.000013,1.94,42.46,17.40,82.57,18.00
92,2025-06-20 12:06:33.394777,36,67,1218,1.000,82.07,81.50,102.00,2954.50,3.37,648,18.00,0.222,0.000010,0.000011,0.000011,0.000009,0.000007,0.000012,1.86,44.10,18.18,82.07,18.00
93,2025-06-20 12:06:33.395015,36,65,1218,1.000,81.57,81.00,101.50,2936.50,3.37,648,18.00,0.221,0.000010,0.000011,0.000011,0.000008,0.000008,0.000013,1.81,45.18,18.74,81.57,18.00
94,2025-06-20 12:06:33.395259,36,62,1218,1.000,81.07,80.50,101.00,2918.50,3.37,648,18.00,0.221,0.000009,0.000011,0.000011,0.000009,0.000008,0.000013,1.72,47.07,19.65,81.07,18.00
95,2025-06-20 12:06:33.395493,36,60,1218,1.000,80.57,80.00,100.50,2900.50,3.37,648,18.00,0.220,0.000009,0.000011,0.000011,0.000010,0.000008,0.000013,1.67,48.34,20.30,80.57,18.00
96,2025-06-20 12:06:33.395727,36,55,1218,1.000,80.07,79.50,100.00,2882.50,3.37,648,18.00,0.219,0.000009,0.000011,0.000010,0.000011,0.000008,0.000013,1.53,52.41,22.15,80.07,18.00
97,2025-06-20 12:06:33.395958,35,55,1218,0.972,79.59,79.00,99.50,2785.50,3.42,630,18.00,0.218,0.000010,0.000011,0.000010,0.000011,0.000007,0.000013,1.57,50.65,22.15,79.59,18.00
98,2025-06-20 12:06:33.396200,35,54,1218,1.000,79.09,78.50,99.00,2768.00,3.42,630,18.00,0.217,0.000010,0.000011,0.000010,0.000011,0.000007,0.000012,1.54,51.26,22.56,79.09,18.00
99,2025-06-20 12:06:33.396434,35,52,1218,1.000,78.59,78.00,98.50,2750.50,3.42,630,18.00,0.217,0.000010,0.000011,0.000010,0.000010,0.000007,0.000013,1.49,52.89,23.42,78.59,18.00
100,2025-06-20 12:06:33.396682,33,90,1218,0.943,78.12,77.50,98.00,2578.00,3.51,594,18.00,0.216,0.000009,0.000011,0.000010,0.000010,0.000011,0.000012,2.73,28.64,13.53,78.12,18.00
101,2025-06-20 12:06:33.396947,33,90,1218,1.000,77.62,77.00,97.50,2561.50,3.51,594,18.00,0.215,0.000009,0.000011,0.000010,0.000010,0.000012,0.000012,2.73,28.46,13.53,77.62,18.00
102,2025-06-20 12:06:33.397228,33,86,1218,1.000,77.12,76.50,97.00,2545.00,3.51,594,18.00,0.214,0.000009,0.000011,0.000010,0.000010,0.000011,0.000012,2.61,29.59,14.16,77.12,18.00
103,2025-06-20 12:06:33.397479,33,85,1218,1.000,76.62,76.00,96.50,2528.50,3.51,594,18.00,0.214,0.000009,0.000011,0.000010,0.000010,0.000009,0.000013,2.58,29.75,14.33,76.62,18.00
104,2025-06-20 12:06:33.397715,32,83,1218,0.970,76.14,75.50,96.00,2436.50,3.57,576,18.00,0.213,0.000009,0.000011,0.000010,0.000010,0.000008,0.000012,2.59,29.36,14.67,76.14,18.00
105,2025-06-20 12:06:33.397952,32,80,1218,1.000,75.64,75.00,95.50,2420.50,3.57,576,18.00,0.212,0.000009,0.000011,0.000010,0.000010,0.000007,0.000012,2.50,30.26,15.22,75.64,18.00
106,2025-06-20 12:06:33.398200,32,75,1218,1.000,75.14,74.50,95.00,2404.50,3.57,576,18.00,0.211,0.000009,0.000011,0.000010,0.000010,0.000008,0.000012,2.34,32.06,16.24,75.14,18.00
107,2025-06-20 12:06:33.398435,31,70,1218,0.969,74.66,74.00,94.50,2314.50,3.62,558,18.00,0.211,0.000009,0.000011,0.000010,0.000010,0.000008,0.000013,2.26,33.06,17.40,74.66,18.00
108,2025-06-20 12:06:33.398678,31,68,1218,1.000,74.16,73.50,94.00,2299.00,3.62,558,18.00,0.210,0.000009,0.000011,0.000010,0.000010,0.000009,0.000013,2.19,33.81,17.91,74.16,18.00
109,2025-06-20 12:06:33.398924,30,66,1218,0.968,73.68,73.00,93.50,2210.50,3.68,540,18.00,0.209,0.000009,0.000011,0.000011,0.000010,0.000010,0.000013,2.20,33.49,18.45,73.68,18.00
110,2025-06-20 12:06:33.399205,30,66,1218,1.000,73.18,72.50,93.00,2195.50,3.68,540,18.00,0.208,0.000009,0.000011,0.000011,0.000010,0.000009,0.000013,2.20,33.27,18.45,73.18,18.00
111,2025-06-20 12:06:33.399447,30,63,1218,1.000,72.68,72.00,92.50,2180.50,3.68,540,18.00,0.207,0.000009,0.000011,0.000010,0.000010,0.000009,0.000013,2.10,34.61,19.33,72.68,18.00
112,2025-06-20 12:06:33.399686,30,61,1218,1.000,72.18,71.50,92.00,2165.50,3.68,540,18.00,0.207,0.000009,0.000011,0.000011,0.000011,0.000008,0.000013,2.03,35.50,19.97,72.18,18.00
113,2025-06-20 12:06:33.399921,30,60,1218,1.000,71.68,71.00,91.50,2150.50,3.68,540,18.00,0.206,0.000009,0.000011,0.000011,0.000011,0.000008,0.000013,2.00,35.84,20.30,71.68,18.00
114,2025-06-20 12:06:33.400171,28,56,1218,0.933,71.23,70.50,91.00,1994.50,3.80,504,18.00,0.205,0.000010,0.000010,0.000010,0.000011,0.000007,0.000013,2.00,35.62,21.75,71.23,18.00
115,2025-06-20 12:06:33.400407,28,56,1218,1.000,70.73,70.00,90.50,1980.50,3.80,504,18.00,0.205,0.000010,0.000010,0.000010,0.000010,0.000007,0.000013,2.00,35.37,21.75,70.73,18.00
116,2025-06-20 12:06:33.400635,28,53,1218,1.000,70.23,69.50,90.00,1966.50,3.80,504,18.00,0.204,0.000010,0.000010,0.000010,0.000010,0.000007,0.000013,1.89,37.10,22.98,70.23,18.00
117,2025-06-20 12:06:33.400859,28,49,1218,1.000,69.73,69.00,89.50,1952.50,3.80,504,18.00,0.203,0.000010,0.000010,0.000010,0.000010,0.000008,0.000012,1.75,39.85,24.86,69.73,18.00
118,2025-06-20 12:06:33.401094,27,48,1218,0.964,69.26,68.50,89.00,1870.00,3.87,486,18.00,0.202,0.000011,0.000010,0.000010,0.000010,0.000007,0.000011,1.78,38.96,25.38,69.26,18.00
119,2025-06-20 12:06:33.401324,27,47,1218,1.000,68.76,68.00,88.50,1856.50,3.87,486,18.00,0.202,0.000011,0.000010,0.000010,0.000010,0.000007,0.000012,1.74,39.50,25.91,68.76,18.00
120,2025-06-20 12:06:33.401557,27,79,1218,1.000,68.26,67.50,88.00,1843.00,3.87,486,18.00,0.201,0.000011,0.000010,0.000010,0.000010,0.000010,0.000012,2.93,23.33,15.42,68.26,18.00
121,2025-06-20 12:06:33.401787,27,76,1218,1.000,67.76,67.00,87.50,1829.50,3.87,486,18.00,0.200,0.000011,0.000010,0.000010,0.000011,0.000011,0.000013,2.81,24.07,16.03,67.76,18.00
