Step,Time_stamp,Bacteria_Count,Glucose_Count,Metabolite_Count,Growth_Rate,Average_ATP,Min_ATP,Max_ATP,Total_ATP,ATP_StdDev,Total_Metabolites_Produced,Avg_Metabolites_Per_Bacteria,Avg_Metabolite_Concentration,Avg_Bacteria_X,Avg_Bacteria_Y,Bacteria_Spatial_Std,Avg_Glucose_X,Avg_Glucose_Y,Glucose_Spatial_Std,Glucose_Per_Bacteria,ATP_Per_Glucose,Metabolites_Per_Glucose,ATP_Per_Bacteria,Metabolites_Per_Bacteria
0,2025-06-20 11:56:43.898733,47,998,48,1.000,195.50,195.50,195.50,9188.50,0.00,47,1.00,0.300,0.000009,0.000011,0.000012,0.000010,0.000010,0.000012,21.23,9.21,0.05,195.50,1.00
1,2025-06-20 11:56:43.899093,47,978,95,1.000,191.00,191.00,191.00,8977.00,0.00,94,2.00,0.299,0.000009,0.000011,0.000012,0.000010,0.000009,0.000012,20.81,9.18,0.10,191.00,2.00
2,2025-06-20 11:56:43.899544,47,933,142,1.000,186.50,186.50,186.50,8765.50,0.00,141,3.00,0.299,0.000009,0.000011,0.000012,0.000010,0.000007,0.000012,19.85,9.39,0.15,186.50,3.00
3,2025-06-20 11:56:43.899838,45,882,185,0.957,182.00,182.00,182.00,8190.00,0.00,180,4.00,0.298,0.000009,0.000012,0.000012,0.000010,0.000007,0.000012,19.60,9.29,0.21,182.00,4.00
4,2025-06-20 11:56:43.900108,45,820,229,1.000,177.50,177.50,177.50,7987.50,0.00,225,5.00,0.298,0.000009,0.000011,0.000012,0.000010,0.000007,0.000012,18.22,9.74,0.28,177.50,5.00
5,2025-06-20 11:56:43.900392,45,762,274,1.000,173.00,173.00,173.00,7785.00,0.00,270,6.00,0.297,0.000009,0.000011,0.000012,0.000010,0.000007,0.000012,16.93,10.22,0.36,173.00,6.00
6,2025-06-20 11:56:43.900641,45,715,318,1.000,168.50,168.50,168.50,7582.50,0.00,315,7.00,0.297,0.000009,0.000011,0.000012,0.000010,0.000007,0.000012,15.89,10.60,0.44,168.50,7.00
7,2025-06-20 11:56:43.900871,44,666,362,0.978,164.00,164.00,164.00,7216.00,0.00,352,8.00,0.296,0.000009,0.000011,0.000012,0.000010,0.000007,0.000012,15.14,10.83,0.54,164.00,8.00
8,2025-06-20 11:56:43.901097,44,624,406,1.000,159.50,159.50,159.50,7018.00,0.00,396,9.00,0.296,0.000009,0.000011,0.000012,0.000010,0.000007,0.000013,14.18,11.25,0.65,159.50,9.00
9,2025-06-20 11:56:43.901328,41,593,449,0.932,155.00,155.00,155.00,6355.00,0.00,410,10.00,0.295,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,14.46,10.72,0.76,155.00,10.00
