Step,Time_stamp,Bacteria_Count,Glucose_Count,Metabolite_Count,Growth_Rate,Average_ATP,Min_ATP,Max_ATP,Total_ATP,ATP_StdDev,Total_Metabolites_Produced,Avg_Metabolites_Per_Bacteria,Avg_Metabolite_Concentration,Avg_Bacteria_X,Avg_Bacteria_Y,Bacteria_Spatial_Std,Avg_Glucose_X,Avg_Glucose_Y,Glucose_Spatial_Std,Glucose_Per_Bacteria,ATP_Per_Glucose,Metabolites_Per_Glucose,ATP_Per_Bacteria,Metabolites_Per_Bacteria
10,2025-06-20 11:56:43.901549,41,555,490,1.000,150.50,150.50,150.50,6170.50,0.00,451,11.00,0.295,0.000010,0.000011,0.000011,0.000010,0.000008,0.000013,13.54,11.12,0.88,150.50,11.00
11,2025-06-20 11:56:43.901766,41,518,531,1.000,146.00,146.00,146.00,5986.00,0.00,492,12.00,0.294,0.000010,0.000011,0.000011,0.000010,0.000008,0.000013,12.63,11.56,1.03,146.00,12.00
12,2025-06-20 11:56:43.901980,41,489,571,1.000,141.50,141.50,141.50,5801.50,0.00,533,13.00,0.293,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,11.93,11.86,1.17,141.50,13.00
13,2025-06-20 11:56:43.902186,41,465,612,1.000,137.00,137.00,137.00,5617.00,0.00,574,14.00,0.293,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,11.34,12.08,1.32,137.00,14.00
14,2025-06-20 11:56:43.902409,41,435,653,1.000,132.50,132.50,132.50,5432.50,0.00,615,15.00,0.292,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,10.61,12.49,1.50,132.50,15.00
15,2025-06-20 11:56:43.902618,41,411,693,1.000,128.00,128.00,128.00,5248.00,0.00,656,16.00,0.292,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,10.02,12.77,1.69,128.00,16.00
16,2025-06-20 11:56:43.902821,41,391,734,1.000,123.50,123.50,123.50,5063.50,0.00,697,17.00,0.291,0.000009,0.000011,0.000011,0.000010,0.000007,0.000012,9.54,12.95,1.88,123.50,17.00
17,2025-06-20 11:56:43.903021,41,363,775,1.000,119.00,119.00,119.00,4879.00,0.00,738,18.00,0.291,0.000009,0.000011,0.000011,0.000010,0.000007,0.000012,8.85,13.44,2.13,119.00,18.00
18,2025-06-20 11:56:43.903230,41,339,775,1.000,118.50,118.50,118.50,4858.50,0.00,738,18.00,0.290,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,8.27,14.33,2.29,118.50,18.00
19,2025-06-20 11:56:43.903429,41,313,775,1.000,118.00,118.00,118.00,4838.00,0.00,738,18.00,0.289,0.000009,0.000011,0.000011,0.000009,0.000007,0.000013,7.63,15.46,2.48,118.00,18.00
20,2025-06-20 11:56:43.903636,41,356,775,1.000,117.50,117.50,117.50,4817.50,0.00,738,18.00,0.288,0.000009,0.000011,0.000011,0.000010,0.000008,0.000013,8.68,13.53,2.18,117.50,18.00
21,2025-06-20 11:56:43.903836,41,335,775,1.000,117.00,117.00,117.00,4797.00,0.00,738,18.00,0.287,0.000009,0.000011,0.000011,0.000010,0.000008,0.000013,8.17,14.32,2.31,117.00,18.00
22,2025-06-20 11:56:43.904028,41,313,775,1.000,116.50,116.50,116.50,4776.50,0.00,738,18.00,0.286,0.000009,0.000011,0.000011,0.000010,0.000008,0.000013,7.63,15.26,2.48,116.50,18.00
23,2025-06-20 11:56:43.904231,41,295,775,1.000,116.00,116.00,116.00,4756.00,0.00,738,18.00,0.285,0.000009,0.000011,0.000011,0.000011,0.000008,0.000013,7.20,16.12,2.63,116.00,18.00
24,2025-06-20 11:56:43.904425,41,278,775,1.000,115.50,115.50,115.50,4735.50,0.00,738,18.00,0.283,0.000009,0.000011,0.000011,0.000011,0.000007,0.000013,6.78,17.03,2.79,115.50,18.00
25,2025-06-20 11:56:43.904607,41,257,775,1.000,115.00,115.00,115.00,4715.00,0.00,738,18.00,0.282,0.000009,0.000011,0.000011,0.000010,0.000007,0.000012,6.27,18.35,3.02,115.00,18.00
26,2025-06-20 11:56:43.904792,41,245,775,1.000,114.50,114.50,114.50,4694.50,0.00,738,18.00,0.281,0.000009,0.000011,0.000011,0.000010,0.000007,0.000013,5.98,19.16,3.16,114.50,18.00
27,2025-06-20 11:56:43.904970,42,228,776,1.024,115.94,114.00,195.50,4869.50,12.43,739,17.60,0.280,0.000009,0.000011,0.000011,0.000009,0.000007,0.000013,5.43,21.36,3.40,115.94,17.60
28,2025-06-20 11:56:43.905146,42,212,778,1.000,117.30,113.50,195.50,4926.50,16.99,723,17.21,0.280,0.000009,0.000011,0.000011,0.000010,0.000008,0.000013,5.05,23.24,3.67,117.30,17.21
29,2025-06-20 11:56:43.905334,42,207,780,1.000,116.61,113.00,191.00,4897.50,16.14,725,17.26,0.279,0.000009,0.000011,0.000011,0.000010,0.000008,0.000012,4.93,23.66,3.77,116.61,17.26
30,2025-06-20 11:56:43.905511,41,201,782,0.976,116.00,112.50,186.50,4756.00,15.46,709,17.29,0.278,0.000009,0.000011,0.000011,0.000010,0.000008,0.000013,4.90,23.66,3.89,116.00,17.29
31,2025-06-20 11:56:43.905683,41,189,784,1.000,115.30,112.00,182.00,4727.50,14.60,711,17.34,0.277,0.000009,0.000011,0.000011,0.000010,0.000008,0.000013,4.61,25.01,4.15,115.30,17.34
32,2025-06-20 11:56:43.905857,40,181,786,0.976,114.69,111.50,177.50,4587.50,13.90,695,17.38,0.276,0.000009,0.000011,0.000012,0.000009,0.000008,0.000013,4.53,25.35,4.34,114.69,17.38
33,2025-06-20 11:56:43.906029,40,174,788,1.000,113.99,111.00,173.00,4559.50,13.03,697,17.43,0.275,0.000009,0.000011,0.000012,0.000009,0.000008,0.000013,4.35,26.20,4.53,113.99,17.43
34,2025-06-20 11:56:43.906200,40,165,789,1.000,113.29,110.50,168.50,4531.50,12.16,699,17.48,0.274,0.000009,0.000011,0.000012,0.000009,0.000008,0.000013,4.12,27.46,4.78,113.29,17.48
35,2025-06-20 11:56:43.906389,39,156,791,0.975,112.65,110.00,164.00,4393.50,11.43,683,17.51,0.273,0.000009,0.000011,0.000011,0.000009,0.000008,0.000013,4.00,28.16,5.07,112.65,17.51
36,2025-06-20 11:56:43.906569,39,149,793,1.000,111.95,109.50,159.50,4366.00,10.54,685,17.56,0.272,0.000009,0.000011,0.000012,0.000010,0.000008,0.000013,3.82,29.30,5.32,111.95,17.56
37,2025-06-20 11:56:43.906734,39,146,795,1.000,111.24,109.00,155.00,4338.50,9.66,687,17.62,0.271,0.000009,0.000011,0.000011,0.000010,0.000007,0.000012,3.74,29.72,5.45,111.24,17.62
38,2025-06-20 11:56:43.906898,38,137,797,0.974,110.59,108.50,150.50,4202.50,8.89,671,17.66,0.270,0.000009,0.000011,0.000011,0.000010,0.000007,0.000012,3.61,30.68,5.82,110.59,17.66
39,2025-06-20 11:56:43.907070,37,126,799,0.974,109.93,108.00,146.00,4067.50,8.10,655,17.70,0.269,0.000009,0.000011,0.000011,0.000010,0.000007,0.000012,3.41,32.28,6.34,109.93,17.70
40,2025-06-20 11:56:43.907277,37,172,801,1.000,109.22,107.50,141.50,4041.00,7.20,657,17.76,0.268,0.000009,0.000011,0.000011,0.000009,0.000010,0.000013,4.65,23.49,4.66,109.22,17.76
41,2025-06-20 11:56:43.907452,36,163,803,0.973,108.54,107.00,137.00,3907.50,6.38,641,17.81,0.268,0.000010,0.000011,0.000011,0.000010,0.000010,0.000013,4.53,23.97,4.93,108.54,17.81
42,2025-06-20 11:56:43.907660,36,153,805,1.000,107.82,106.50,132.50,3881.50,5.47,643,17.86,0.267,0.000010,0.000011,0.000011,0.000010,0.000010,0.000012,4.25,25.37,5.26,107.82,17.86
43,2025-06-20 11:56:43.907874,36,149,807,1.000,107.10,106.00,128.00,3855.50,4.55,645,17.92,0.266,0.000010,0.000011,0.000011,0.000010,0.000009,0.000013,4.14,25.88,5.42,107.10,17.92
44,2025-06-20 11:56:43.908055,36,142,808,1.000,106.37,105.50,123.50,3829.50,3.65,647,17.97,0.265,0.000010,0.000011,0.000011,0.000010,0.000008,0.000013,3.94,26.97,5.69,106.37,17.97
45,2025-06-20 11:56:43.908249,36,133,808,1.000,105.76,105.00,119.00,3807.50,3.15,648,18.00,0.264,0.000010,0.000011,0.000011,0.000010,0.000007,0.000012,3.69,28.63,6.08,105.76,18.00
46,2025-06-20 11:56:43.908427,36,126,808,1.000,105.26,104.50,118.50,3789.50,3.15,648,18.00,0.263,0.000010,0.000011,0.000011,0.000010,0.000007,0.000012,3.50,30.08,6.41,105.26,18.00
47,2025-06-20 11:56:43.908600,36,119,808,1.000,104.76,104.00,118.00,3771.50,3.15,648,18.00,0.262,0.000010,0.000011,0.000010,0.000010,0.000007,0.000013,3.31,31.69,6.79,104.76,18.00
48,2025-06-20 11:56:43.908770,35,108,808,0.972,104.29,103.50,117.50,3650.00,3.19,630,18.00,0.261,0.000010,0.000011,0.000011,0.000011,0.000007,0.000012,3.09,33.80,7.48,104.29,18.00
49,2025-06-20 11:56:43.908942,33,102,808,0.943,103.83,103.00,117.00,3426.50,3.28,594,18.00,0.260,0.000009,0.000011,0.000011,0.000011,0.000007,0.000013,3.09,33.59,7.92,103.83,18.00
50,2025-06-20 11:56:43.909109,33,96,808,1.000,103.33,102.50,116.50,3410.00,3.28,594,18.00,0.259,0.000009,0.000011,0.000010,0.000011,0.000008,0.000013,2.91,35.52,8.42,103.33,18.00
51,2025-06-20 11:56:43.909280,33,89,808,1.000,102.83,102.00,116.00,3393.50,3.28,594,18.00,0.258,0.000009,0.000011,0.000010,0.000011,0.000009,0.000012,2.70,38.13,9.08,102.83,18.00
52,2025-06-20 11:56:43.909452,33,84,808,1.000,102.33,101.50,115.50,3377.00,3.28,594,18.00,0.257,0.000009,0.000011,0.000011,0.000011,0.000009,0.000013,2.55,40.20,9.62,102.33,18.00
53,2025-06-20 11:56:43.909615,33,80,808,1.000,101.83,101.00,115.00,3360.50,3.28,594,18.00,0.256,0.000010,0.000011,0.000011,0.000011,0.000009,0.000013,2.42,42.01,10.10,101.83,18.00
54,2025-06-20 11:56:43.909776,32,76,808,0.970,101.36,100.50,114.50,3243.50,3.33,576,18.00,0.255,0.000009,0.000011,0.000011,0.000010,0.000008,0.000013,2.38,42.68,10.63,101.36,18.00
55,2025-06-20 11:56:43.909942,32,73,808,1.000,100.86,100.00,114.00,3227.50,3.33,576,18.00,0.255,0.000010,0.000011,0.000011,0.000010,0.000007,0.000012,2.28,44.21,11.07,100.86,18.00
56,2025-06-20 11:56:43.910102,32,70,808,1.000,100.36,99.50,113.50,3211.50,3.33,576,18.00,0.254,0.000010,0.000011,0.000011,0.000010,0.000007,0.000012,2.19,45.88,11.54,100.36,18.00
57,2025-06-20 11:56:43.910275,32,65,808,1.000,99.86,99.00,113.00,3195.50,3.33,576,18.00,0.253,0.000010,0.000011,0.000011,0.000010,0.000007,0.000012,2.03,49.16,12.43,99.86,18.00
58,2025-06-20 11:56:43.910436,32,61,808,1.000,99.36,98.50,112.50,3179.50,3.33,576,18.00,0.252,0.000010,0.000011,0.000011,0.000011,0.000007,0.000014,1.91,52.12,13.25,99.36,18.00
59,2025-06-20 11:56:43.910596,32,58,808,1.000,98.86,98.00,112.00,3163.50,3.33,576,18.00,0.251,0.000010,0.000011,0.000011,0.000010,0.000007,0.000014,1.81,54.54,13.93,98.86,18.00
60,2025-06-20 11:56:43.910759,32,119,808,1.000,98.36,97.50,111.50,3147.50,3.33,576,18.00,0.250,0.000010,0.000011,0.000011,0.000010,0.000012,0.000012,3.72,26.45,6.79,98.36,18.00
61,2025-06-20 11:56:43.910925,32,118,808,1.000,97.86,97.00,111.00,3131.50,3.33,576,18.00,0.249,0.000010,0.000011,0.000010,0.000009,0.000012,0.000012,3.69,26.54,6.85,97.86,18.00
62,2025-06-20 11:56:43.911092,31,116,808,0.969,97.39,96.50,110.50,3019.00,3.38,558,18.00,0.248,0.000009,0.000011,0.000011,0.000010,0.000011,0.000012,3.74,26.03,6.97,97.39,18.00
63,2025-06-20 11:56:43.911264,31,114,808,1.000,96.89,96.00,110.00,3003.50,3.38,558,18.00,0.247,0.000009,0.000011,0.000011,0.000009,0.000010,0.000013,3.68,26.35,7.09,96.89,18.00
64,2025-06-20 11:56:43.911435,30,110,808,0.968,96.42,95.50,109.50,2892.50,3.43,540,18.00,0.246,0.000010,0.000011,0.000011,0.000010,0.000009,0.000012,3.67,26.30,7.35,96.42,18.00
65,2025-06-20 11:56:43.911604,30,104,808,1.000,95.92,95.00,109.00,2877.50,3.43,540,18.00,0.246,0.000010,0.000011,0.000011,0.000011,0.000007,0.000013,3.47,27.67,7.77,95.92,18.00
66,2025-06-20 11:56:43.911770,30,99,808,1.000,95.42,94.50,108.50,2862.50,3.43,540,18.00,0.245,0.000010,0.000011,0.000011,0.000012,0.000006,0.000013,3.30,28.91,8.16,95.42,18.00
67,2025-06-20 11:56:43.911933,30,87,808,1.000,94.92,94.00,108.00,2847.50,3.43,540,18.00,0.244,0.000010,0.000011,0.000011,0.000012,0.000007,0.000013,2.90,32.73,9.29,94.92,18.00
68,2025-06-20 11:56:43.912092,30,79,808,1.000,94.42,93.50,107.50,2832.50,3.43,540,18.00,0.243,0.000010,0.000011,0.000011,0.000010,0.000008,0.000012,2.63,35.85,10.23,94.42,18.00
69,2025-06-20 11:56:43.912268,29,76,808,0.967,93.48,93.00,107.00,2711.00,2.55,522,18.00,0.242,0.000010,0.000010,0.000011,0.000009,0.000008,0.000012,2.62,35.67,10.63,93.48,18.00
70,2025-06-20 11:56:43.912435,29,74,808,1.000,92.98,92.50,106.50,2696.50,2.55,522,18.00,0.241,0.000009,0.000010,0.000011,0.000009,0.000009,0.000012,2.55,36.44,10.92,92.98,18.00
71,2025-06-20 11:56:43.912599,28,69,808,0.966,92.50,92.00,106.00,2590.00,2.60,504,18.00,0.240,0.000009,0.000011,0.000011,0.000009,0.000009,0.000013,2.46,37.54,11.71,92.50,18.00
72,2025-06-20 11:56:43.912773,28,67,808,1.000,92.00,91.50,105.50,2576.00,2.60,504,18.00,0.239,0.000009,0.000011,0.000011,0.000010,0.000009,0.000012,2.39,38.45,12.06,92.00,18.00
73,2025-06-20 11:56:43.912937,28,67,808,1.000,91.50,91.00,105.00,2562.00,2.60,504,18.00,0.239,0.000010,0.000010,0.000011,0.000011,0.000008,0.000013,2.39,38.24,12.06,91.50,18.00
74,2025-06-20 11:56:43.913097,28,62,808,1.000,91.00,90.50,104.50,2548.00,2.60,504,18.00,0.238,0.000010,0.000010,0.000011,0.000012,0.000009,0.000013,2.21,41.10,13.03,91.00,18.00
75,2025-06-20 11:56:43.913258,28,60,808,1.000,90.50,90.00,104.00,2534.00,2.60,504,18.00,0.237,0.000010,0.000010,0.000011,0.000011,0.000008,0.000013,2.14,42.23,13.47,90.50,18.00
76,2025-06-20 11:56:43.913415,28,57,808,1.000,90.00,89.50,103.50,2520.00,2.60,504,18.00,0.236,0.000010,0.000010,0.000011,0.000009,0.000008,0.000013,2.04,44.21,14.18,90.00,18.00
77,2025-06-20 11:56:43.913570,28,57,808,1.000,89.50,89.00,103.00,2506.00,2.60,504,18.00,0.235,0.000010,0.000010,0.000011,0.000009,0.000008,0.000013,2.04,43.96,14.18,89.50,18.00
78,2025-06-20 11:56:43.913739,28,54,808,1.000,89.00,88.50,102.50,2492.00,2.60,504,18.00,0.234,0.000010,0.000010,0.000011,0.000010,0.000008,0.000013,1.93,46.15,14.96,89.00,18.00
79,2025-06-20 11:56:43.913900,28,51,808,1.000,88.50,88.00,102.00,2478.00,2.60,504,18.00,0.233,0.000010,0.000010,0.000011,0.000010,0.000008,0.000013,1.82,48.59,15.84,88.50,18.00
80,2025-06-20 11:56:43.914069,28,103,808,1.000,88.00,87.50,101.50,2464.00,2.60,504,18.00,0.233,0.000010,0.000010,0.000011,0.000011,0.000012,0.000012,3.68,23.92,7.84,88.00,18.00
81,2025-06-20 11:56:43.914228,28,102,808,1.000,87.50,87.00,101.00,2450.00,2.60,504,18.00,0.232,0.000010,0.000010,0.000011,0.000011,0.000012,0.000013,3.64,24.02,7.92,87.50,18.00
82,2025-06-20 11:56:43.914390,28,101,808,1.000,87.00,86.50,100.50,2436.00,2.60,504,18.00,0.231,0.000010,0.000010,0.000011,0.000010,0.000011,0.000013,3.61,24.12,8.00,87.00,18.00
83,2025-06-20 11:56:43.914571,28,98,808,1.000,86.50,86.00,100.00,2422.00,2.60,504,18.00,0.230,0.000010,0.000010,0.000011,0.000009,0.000010,0.000013,3.50,24.71,8.24,86.50,18.00
84,2025-06-20 11:56:43.914812,27,96,808,0.964,86.02,85.50,99.50,2322.50,2.64,486,18.00,0.229,0.000010,0.000010,0.000011,0.000009,0.000009,0.000013,3.56,24.19,8.42,86.02,18.00
85,2025-06-20 11:56:43.914980,27,93,808,1.000,85.52,85.00,99.00,2309.00,2.64,486,18.00,0.228,0.000010,0.000010,0.000011,0.000010,0.000008,0.000013,3.44,24.83,8.69,85.52,18.00
86,2025-06-20 11:56:43.915139,27,92,808,1.000,85.02,84.50,98.50,2295.50,2.64,486,18.00,0.228,0.000010,0.000010,0.000011,0.000010,0.000008,0.000013,3.41,24.95,8.78,85.02,18.00
87,2025-06-20 11:56:43.915299,27,87,808,1.000,84.52,84.00,98.00,2282.00,2.64,486,18.00,0.227,0.000010,0.000010,0.000011,0.000010,0.000007,0.000013,3.22,26.23,9.29,84.52,18.00
88,2025-06-20 11:56:43.915488,25,86,808,0.926,84.06,83.50,97.50,2101.50,2.74,450,18.00,0.226,0.000010,0.000010,0.000011,0.000011,0.000007,0.000013,3.44,24.44,9.40,84.06,18.00
89,2025-06-20 11:56:43.915653,25,81,808,1.000,83.56,83.00,97.00,2089.00,2.74,450,18.00,0.225,0.000010,0.000010,0.000011,0.000011,0.000008,0.000013,3.24,25.79,9.98,83.56,18.00
90,2025-06-20 11:56:43.915823,25,79,808,1.000,83.06,82.50,96.50,2076.50,2.74,450,18.00,0.224,0.000010,0.000011,0.000011,0.000010,0.000008,0.000013,3.16,26.28,10.23,83.06,18.00
91,2025-06-20 11:56:43.915976,25,73,808,1.000,82.56,82.00,96.00,2064.00,2.74,450,18.00,0.224,0.000010,0.000010,0.000011,0.000010,0.000008,0.000012,2.92,28.27,11.07,82.56,18.00
92,2025-06-20 11:56:43.916131,25,72,808,1.000,82.06,81.50,95.50,2051.50,2.74,450,18.00,0.223,0.000010,0.000010,0.000011,0.000010,0.000008,0.000012,2.88,28.49,11.22,82.06,18.00
93,2025-06-20 11:56:43.916287,25,69,808,1.000,81.56,81.00,95.00,2039.00,2.74,450,18.00,0.222,0.000010,0.000010,0.000010,0.000010,0.000008,0.000013,2.76,29.55,11.71,81.56,18.00
94,2025-06-20 11:56:43.916442,25,68,808,1.000,81.06,80.50,94.50,2026.50,2.74,450,18.00,0.221,0.000010,0.000010,0.000010,0.000009,0.000008,0.000013,2.72,29.80,11.88,81.06,18.00
95,2025-06-20 11:56:43.916601,25,65,808,1.000,80.56,80.00,94.00,2014.00,2.74,450,18.00,0.220,0.000010,0.000010,0.000010,0.000009,0.000007,0.000012,2.60,30.98,12.43,80.56,18.00
96,2025-06-20 11:56:43.916765,25,63,808,1.000,80.06,79.50,93.50,2001.50,2.74,450,18.00,0.220,0.000010,0.000010,0.000010,0.000010,0.000007,0.000012,2.52,31.77,12.83,80.06,18.00
97,2025-06-20 11:56:43.916918,25,58,808,1.000,79.56,79.00,93.00,1989.00,2.74,450,18.00,0.219,0.000010,0.000010,0.000010,0.000011,0.000007,0.000012,2.32,34.29,13.93,79.56,18.00
98,2025-06-20 11:56:43.917070,24,57,808,0.960,79.08,78.50,92.50,1898.00,2.80,432,18.00,0.218,0.000011,0.000011,0.000010,0.000011,0.000008,0.000012,2.38,33.30,14.18,79.08,18.00
99,2025-06-20 11:56:43.917221,24,56,808,1.000,78.58,78.00,92.00,1886.00,2.80,432,18.00,0.217,0.000011,0.000011,0.000010,0.000010,0.000008,0.000012,2.33,33.68,14.43,78.58,18.00
100,2025-06-20 11:56:43.917379,24,99,808,1.000,78.08,77.50,91.50,1874.00,2.80,432,18.00,0.216,0.000010,0.000011,0.000011,0.000010,0.000012,0.000011,4.12,18.93,8.16,78.08,18.00
101,2025-06-20 11:56:43.917541,23,98,808,0.958,77.61,77.00,91.00,1785.00,2.86,414,18.00,0.216,0.000010,0.000011,0.000011,0.000010,0.000012,0.000011,4.26,18.21,8.24,77.61,18.00
102,2025-06-20 11:56:43.917701,23,97,808,1.000,77.11,76.50,90.50,1773.50,2.86,414,18.00,0.215,0.000010,0.000011,0.000011,0.000010,0.000011,0.000012,4.22,18.28,8.33,77.11,18.00
103,2025-06-20 11:56:43.917869,23,97,808,1.000,76.61,76.00,90.00,1762.00,2.86,414,18.00,0.214,0.000011,0.000011,0.000011,0.000010,0.000009,0.000012,4.22,18.16,8.33,76.61,18.00
104,2025-06-20 11:56:43.918030,23,95,808,1.000,76.11,75.50,89.50,1750.50,2.86,414,18.00,0.213,0.000011,0.000011,0.000011,0.000010,0.000008,0.000012,4.13,18.43,8.51,76.11,18.00
105,2025-06-20 11:56:43.918189,23,89,808,1.000,75.61,75.00,89.00,1739.00,2.86,414,18.00,0.213,0.000011,0.000011,0.000011,0.000010,0.000007,0.000012,3.87,19.54,9.08,75.61,18.00
106,2025-06-20 11:56:43.918346,23,82,808,1.000,75.11,74.50,88.50,1727.50,2.86,414,18.00,0.212,0.000011,0.000010,0.000011,0.000009,0.000007,0.000012,3.57,21.07,9.85,75.11,18.00
107,2025-06-20 11:56:43.918502,23,75,808,1.000,74.61,74.00,88.00,1716.00,2.86,414,18.00,0.211,0.000011,0.000010,0.000011,0.000009,0.000007,0.000012,3.26,22.88,10.77,74.61,18.00
108,2025-06-20 11:56:43.918658,23,74,808,1.000,74.11,73.50,87.50,1704.50,2.86,414,18.00,0.210,0.000010,0.000010,0.000011,0.000010,0.000008,0.000013,3.22,23.03,10.92,74.11,18.00
109,2025-06-20 11:56:43.918817,23,70,808,1.000,73.61,73.00,87.00,1693.00,2.86,414,18.00,0.210,0.000010,0.000010,0.000011,0.000010,0.000008,0.000013,3.04,24.19,11.54,73.61,18.00
110,2025-06-20 11:56:43.918972,22,69,808,0.957,73.14,72.50,86.50,1609.00,2.92,396,18.00,0.209,0.000011,0.000010,0.000011,0.000010,0.000008,0.000013,3.14,23.32,11.71,73.14,18.00
111,2025-06-20 11:56:43.919124,22,65,808,1.000,72.64,72.00,86.00,1598.00,2.92,396,18.00,0.208,0.000011,0.000010,0.000011,0.000010,0.000008,0.000013,2.95,24.58,12.43,72.64,18.00
112,2025-06-20 11:56:43.919278,22,66,808,1.000,72.14,71.50,85.50,1587.00,2.92,396,18.00,0.207,0.000011,0.000010,0.000011,0.000009,0.000007,0.000012,3.00,24.05,12.24,72.14,18.00
113,2025-06-20 11:56:43.919427,22,66,808,1.000,71.64,71.00,85.00,1576.00,2.92,396,18.00,0.207,0.000011,0.000010,0.000011,0.000009,0.000007,0.000013,3.00,23.88,12.24,71.64,18.00
114,2025-06-20 11:56:43.919578,22,62,808,1.000,71.14,70.50,84.50,1565.00,2.92,396,18.00,0.206,0.000011,0.000010,0.000011,0.000010,0.000008,0.000013,2.82,25.24,13.03,71.14,18.00
115,2025-06-20 11:56:43.919740,22,61,808,1.000,70.64,70.00,84.00,1554.00,2.92,396,18.00,0.205,0.000011,0.000010,0.000011,0.000011,0.000008,0.000013,2.77,25.48,13.25,70.64,18.00
116,2025-06-20 11:56:43.919908,22,61,808,1.000,70.14,69.50,83.50,1543.00,2.92,396,18.00,0.204,0.000011,0.000010,0.000011,0.000011,0.000008,0.000013,2.77,25.30,13.25,70.14,18.00
117,2025-06-20 11:56:43.920063,22,58,808,1.000,69.64,69.00,83.00,1532.00,2.92,396,18.00,0.204,0.000011,0.000010,0.000011,0.000011,0.000007,0.000013,2.64,26.41,13.93,69.64,18.00
118,2025-06-20 11:56:43.920213,22,54,808,1.000,69.14,68.50,82.50,1521.00,2.92,396,18.00,0.203,0.000011,0.000010,0.000011,0.000010,0.000007,0.000012,2.45,28.17,14.96,69.14,18.00
119,2025-06-20 11:56:43.920363,22,51,808,1.000,68.64,68.00,82.00,1510.00,2.92,396,18.00,0.202,0.000011,0.000010,0.000011,0.000010,0.000008,0.000012,2.32,29.61,15.84,68.64,18.00
120,2025-06-20 11:56:43.920525,21,92,808,0.955,68.17,67.50,81.50,1431.50,2.98,378,18.00,0.201,0.000011,0.000010,0.000011,0.000010,0.000011,0.000012,4.38,15.56,8.78,68.17,18.00
121,2025-06-20 11:56:43.920682,21,89,808,1.000,67.67,67.00,81.00,1421.00,2.98,378,18.00,0.201,0.000011,0.000010,0.000011,0.000010,0.000011,0.000012,4.24,15.97,9.08,67.67,18.00
122,2025-06-20 11:56:43.920845,21,86,808,1.000,67.17,66.50,80.50,1410.50,2.98,378,18.00,0.200,0.000011,0.000010,0.000011,0.000010,0.000011,0.000012,4.10,16.40,9.40,67.17,18.00
